TITLE,AI_PREDICTED_TITLE,AI_TITLE_SIMILARITY,DESCRIPTION,SHORT_DESCRIPTION,INSTRUCTORS_NAMES
Sentiment Analysis in Python,Sentiment Analysis in Python,1,"Have you left a review to express how you feel about a product or a service? And do you have a habit of checking a product’s reviews online before you buy it? This kind of information is valuable not only for you but also for companies. In this course, you will learn how to make sense of the sentiment expressed in various documents. You will use real-world datasets featuring tweets, movie and product reviews, and use Python’s nltk and scikit-learn packages. By the end of the course, you will be able to carry an end-to-end sentiment analysis task based on how US airline passengers expressed their feelings on Twitter.",Are customers thrilled with your products or is your service lacking? Learn how to perform an end-to-end sentiment analysis task.,Violeta Misheva
Machine Learning for Time Series Data in Python,Machine Learning for Time Series Data in Python,1,"Time series data is ubiquitous. Whether it be stock market fluctuations, sensor data recording climate change, or activity in the brain, any signal that changes over time can be described as a time series. Machine learning has emerged as a powerful method for leveraging complexity in data in order to generate predictions and insights into the problem one is trying to solve. This course is an intersection between these two worlds of machine learning and time series data, and covers feature engineering, spectograms, and other advanced techniques in order to classify heartbeat sounds and predict stock prices.",This course focuses on feature engineering and machine learning for time series data.,Chris Holdgraf
Explainable AI in Python,Explainable AI in Python,1,"Explainable AI is critical for data scientists and machine learning practitioners. This course will equip you with the skills to interpret AI model behaviors using Python. You'll use Python's Scikit-learn library and tools like SHAP and LIME to visualize and gain insights on model behavior. By the end of the course, you'll be able to build more transparent, trustworthy, and accountable AI systems.","Gain the essential skills using Scikit-learn, SHAP, and LIME to test and build transparent, trustworthy, and accountable AI systems.",Fouad Trad
Model Validation in Python,Model Validation in Python,1,"Machine learning models are easier to implement now more than ever before. Without proper validation, the results of running new data through a model might not be as accurate as expected. Model validation allows analysts to confidently answer the question, how good is your model? We will answer this question for classification models using the complete set of tic-tac-toe endgame scenarios, and for regression models using fivethirtyeight’s ultimate Halloween candy power ranking dataset. In this course, we will cover the basics of model validation, discuss various validation techniques, and begin to develop tools for creating validated and high performing models.","Learn the basics of model validation, validation techniques, and begin creating validated and high performing models.",Kasey Jones
Web Scraping in Python,Web Scraping in Python,1,"The ability to build tools capable of retrieving and parsing information stored across the internet has been and continues to be valuable in many veins of data science. In this course, you will learn to navigate and parse html code, and build tools to crawl websites automatically. Although our scraping will be conducted using the versatile Python library scrapy, many of the techniques you learn in this course can be applied to other popular Python libraries as well, including BeautifulSoup and Selenium. Upon the completion of this course, you will have a strong mental model of html structure, will be able to build tools to parse html code and access desired information, and create a simple scrapy spiders to crawl the web at scale.",Learn to retrieve and parse information from the internet using the Python library scrapy.,Thomas Laetsch
Hyperparameter Tuning in Python,Hyperparameter Tuning in Python,1,"Building powerful machine learning models depends heavily on the set of hyperparameters used. But with increasingly complex models with lots of options, how do you efficiently find the best settings for your particular problem? In this course you will get practical experience in using some common methodologies for automated hyperparameter tuning in Python using Scikit Learn. These include Grid Search, Random Search & advanced optimization methodologies including Bayesian & Genetic algorithms . You will use a dataset predicting credit card defaults as you build skills to dramatically increase the efficiency and effectiveness of your machine learning model building.","Learn techniques for automated hyperparameter tuning in Python, including Grid, Random, and Informed Search.",Alex Scriven
Importing and Managing Financial Data in Python,Importing and Managing Financial Data in Python,1,"If you want to apply your new 'Python for Data Science' skills to real-world financial data, then this course will give you some very valuable tools. First, you will learn how to get data out of Excel into pandas and back. Then, you will learn how to pull stock prices from various online APIs like Google or Yahoo! Finance, macro data from the Federal Reserve, and exchange rates from OANDA. Finally, you will learn how to calculate returns for various time horizons, analyze stock performance by sector for IPOs, and calculate and summarize correlations.","In this course, you'll learn how to import and manage financial data in Python using various tools and sources.",Stefan Jansen
Introduction to Data,Introduction to Data,1,"Data is an exciting and growing field that plays a significant role in all our lives, even in artificial intelligence. Whether you're just starting or curious about how data shapes the world around you, this course is your gateway to understanding it all. From exploring the basics of data, including types, structures, and how valuable it can be in decision-making, to learning about the DIKW framework used to describe the relationship between data, information, knowledge, and wisdom, his course will guide you through the essential concepts that shape today's data-driven world. You'll wrap up the course with a discussion on data ethics and common data mistakes. You'll leave with a better understanding of how data works, why it matters, and how to navigate it responsibly—whether in your studies, work, or everyday life.","Gain an introduction to data in this hands-on course. Learn the basics of data types and structures, the DIKW framework, data ethics and more.",Maarten Van den Broeck; Joe Franklin
Extreme Gradient Boosting with XGBoost,Extreme Gradient Boosting with XGBoost,1,"Do you know the basics of supervised learning and want to use state-of-the-art models on real-world datasets? Gradient boosting is currently one of the most popular techniques for efficient modeling of tabular datasets of all sizes. XGboost is a very fast, scalable implementation of gradient boosting, with models using XGBoost regularly winning online data science competitions and being used at scale across different industries. In this course, you'll learn how to use this powerful library alongside pandas and scikit-learn to build and tune supervised learning models. You'll work with real-world datasets to solve classification and regression problems.",Learn the fundamentals of gradient boosting and build state-of-the-art machine learning models using XGBoost to solve classification and regression problems.,Sergey Fogelson
Machine Learning with PySpark,Machine Learning with PySpark,1,"Spark is a powerful, general purpose tool for working with Big Data. Spark transparently handles the distribution of compute tasks across a cluster. This means that operations are fast, but it also allows you to focus on the analysis rather than worry about technical details. In this course you'll learn how to get data into Spark and then delve into the three fundamental Spark Machine Learning algorithms: Linear Regression, Logistic Regression/Classifiers, and creating pipelines. Along the way you'll analyse a large dataset of flight delays and spam text messages. With this background you'll be ready to harness the power of Spark and apply it on your own Machine Learning projects!","Learn how to make predictions from data with Apache Spark, using decision trees, logistic regression, linear regression, ensembles, and pipelines.",Andrew Collier
Advanced Deep Learning with Keras,Advanced Deep Learning with Keras,1,"This course shows you how to solve a variety of problems using the versatile Keras functional API. You will start with simple, multi-layer dense networks (also known as multi-layer perceptrons), and continue on to more complicated architectures. The course will cover how to build models with multiple inputs and a single output, as well as how to share weights between layers in a model. We will also cover advanced topics such as category embeddings and multiple-output networks. If you've ever wanted to train a network that does both classification and regression, then this course is for you!",Learn how to develop deep learning models with Keras.,Zachary Deane-Mayer
Exploratory Data Analysis in Python,Exploratory Data Analysis in Python,1,"So you’ve got some interesting data - where do you begin your analysis? This course will cover the process of exploring and analyzing data, from understanding what’s included in a dataset to incorporating exploration findings into a data science workflow. Using data on unemployment figures and plane ticket prices, you’ll leverage Python to summarize and validate data, calculate, identify and replace missing values, and clean both numerical and categorical values. Throughout the course, you’ll create beautiful Seaborn visualizations to understand variables and their relationships. For example, you’ll examine how alcohol use and student performance are related. Finally, the course will show how exploratory findings feed into data science workflows by creating new features, balancing categorical features, and generating hypotheses from findings. By the end of this course, you’ll have the confidence to perform your own exploratory data analysis (EDA) in Python.You’ll be able to explain your findings visually to others and suggest the next steps for gathering insights from your data!","Learn how to explore, visualize, and extract insights from data using exploratory data analysis (EDA) in Python.",George Boorman; Izzy Weber
Joining Data with pandas,Joining Data with pandas,1,"Being able to combine and work with multiple datasets is an essential skill for any aspiring Data Scientist. pandas is a crucial cornerstone of the Python data science ecosystem, with Stack Overflow recording 5 million views for pandas questions. Learn to handle multiple DataFrames by combining, organizing, joining, and reshaping them using pandas. You'll work with datasets from the World Bank and the City Of Chicago. You will finish the course with a solid skillset for data-joining in pandas.",Learn to combine data from multiple tables by joining data together using pandas.,Aaren Stubberfield
Introduction to Data Visualization with Matplotlib,Introduction to Data Visualization with Matplotlib,1,"Visualizing data in plots and figures exposes the underlying patterns in the data and provides insights. Good visualizations also help you communicate your data to others, and are useful to data analysts and other consumers of the data. In this course, you will learn how to use Matplotlib, a powerful Python data visualization library. Matplotlib provides the building blocks to create rich visualizations of many different kinds of datasets. You will learn how to create visualizations for different kinds of data and how to customize, automate, and share these visualizations.","Learn how to create, customize, and share data visualizations using Matplotlib.",Ariel Rokem
Introduction to Deep Learning with PyTorch,Introduction to Deep Learning with PyTorch,1,"Deep learning is everywhere, from smartphone cameras to voice assistants or self-driving cars. In this course, you will discover this powerful technology and learn how to leverage it using PyTorch, one of the most popular deep learning libraries. By the end of this course, you will be able to leverage PyTorch to solve classification and regression problems using deep learning.","Learn how to build your first neural network, adjust hyperparameters, and tackle classification and regression problems in PyTorch.",Jasmin Ludolf; Thomas Hossler
Cleaning Data in Python,Cleaning Data in Python,1,"It's commonly said that data scientists spend 80% of their time cleaning and manipulating data and only 20% of their time analyzing it. The time spent cleaning is vital since analyzing dirty data can lead you to draw inaccurate conclusions. Data cleaning is an essential task in data science. Without properly cleaned data, the results of any data analysis or machine learning model could be inaccurate. In this course, you will learn how to identify, diagnose, and treat a variety of data cleaning problems in Python, ranging from simple to advanced. You will deal with improper data types, check that your data is in the correct range, handle missing data, perform record linkage, and more!",Learn to diagnose and treat dirty data and develop the skills needed to transform your raw data into accurate insights!,Adel Nehme
Introduction to Data Visualization with Seaborn,Introduction to Data Visualization with Seaborn,1,"Seaborn is a powerful Python library that makes it easy to create informative and attractive data visualizations. This 4-hour course provides an introduction to how you can use Seaborn to create a variety of plots, including scatter plots, count plots, bar plots, and box plots, and how you can customize your visualizations. You’ll explore this library and create Seaborn plots based on a variety of real-world data sets, including exploring how air pollution in a city changes through the day and looking at what young people like to do in their free time. This data will give you the opportunity to find out about Seaborn’s advantages first hand, including how you can easily create subplots in a single figure and how to automatically calculate confidence intervals. By the end of this course, you’ll be able to use Seaborn in various situations to explore your data and effectively communicate the results of your data analysis to others. These skills are highly sought-after for data analysts, data scientists, and any other job that may involve creating data visualizations. If you’d like to continue your learning, this course is part of several tracks, including the Data Visualization track, where you can add more libraries and techniques to your skillset.",Learn how to create informative and attractive visualizations in Python using the Seaborn library.,DataCamp Content Creator
Introduction to TensorFlow in Python,Introduction to TensorFlow in Python,1,"Not long ago, cutting-edge computer vision algorithms couldn’t differentiate between images of cats and dogs. Today, a skilled data scientist equipped with nothing more than a laptop can classify tens of thousands of objects with greater accuracy than the human eye. In this course, you will use TensorFlow 2.6 to develop, train, and make predictions with the models that have powered major advances in recommendation systems, image classification, and FinTech. You will learn both high-level APIs, which will enable you to design and train deep learning models in 15 lines of code, and low-level APIs, which will allow you to move beyond off-the-shelf routines. You will also learn to accurately predict housing prices, credit card borrower defaults, and images of sign language gestures.",Learn the fundamentals of neural networks and how to build deep learning models using TensorFlow.,Isaiah Hull
Introduction to PySpark,Introduction to PySpark,1,"This course is designed for data engineers, data scientists, and machine learning practitioners looking to work with large datasets using PySpark. You'll explore Apache Spark's speed and scalability, learn to create Spark sessions, work with RDDs, and manipulate DataFrames through hands-on exercises. The course also covers PySpark SQL, teaching you how to query data with SQL, handle schemas and complex data types, and optimize performance in distributed environments. By the end, you'll have the foundational skills to process and analyze big data, setting the stage for advanced applications like machine learning and big data analytics.","Master PySpark to handle big data with ease—learn to process, query, and optimize massive datasets for powerful analytics!",Ben Schmidt
Working with Categorical Data in Python,Working with Categorical Data in Python,1,"Being able to understand, use, and summarize non-numerical data—such as a person’s blood type or marital status—is a vital component of being a data scientist. In this course, you’ll learn how to manipulate and visualize categorical data using pandas and seaborn. Through hands-on exercises, you’ll get to grips with pandas' categorical data type, including how to create, delete, and update categorical columns. You’ll also work with a wide range of datasets including the characteristics of adoptable dogs, Las Vegas trip reviews, and census data to develop your skills at working with categorical data.",Learn how to manipulate and visualize categorical data using pandas and seaborn.,Kasey Jones
Unsupervised Learning in Python,Unsupervised Learning in Python,1,"Say you have a collection of customers with a variety of characteristics such as age, location, and financial history, and you wish to discover patterns and sort them into clusters. Or perhaps you have a set of texts, such as Wikipedia pages, and you wish to segment them into categories based on their content. This is the world of unsupervised learning, called as such because you are not guiding, or supervising, the pattern discovery by some prediction task, but instead uncovering hidden structure from unlabeled data. Unsupervised learning encompasses a variety of techniques in machine learning, from clustering to dimension reduction to matrix factorization. In this course, you'll learn the fundamentals of unsupervised learning and implement the essential algorithms using scikit-learn and SciPy. You will learn how to cluster, transform, visualize, and extract insights from unlabeled datasets, and end the course by building a recommender system to recommend popular musical artists.","Learn how to cluster, transform, visualize, and extract insights from unlabeled datasets using scikit-learn and scipy.",Benjamin Wilson
Dimensionality Reduction in Python,Dimensionality Reduction in Python,1,"High-dimensional datasets can be overwhelming and leave you not knowing where to start. Typically, you’d visually explore a new dataset first, but when you have too many dimensions the classical approaches will seem insufficient. Fortunately, there are visualization techniques designed specifically for high dimensional data and you’ll be introduced to these in this course. After exploring the data, you’ll often find that many features hold little information because they don’t show any variance or because they are duplicates of other features. You’ll learn how to detect these features and drop them from the dataset so that you can focus on the informative ones. In a next step, you might want to build a model on these features, and it may turn out that some don’t have any effect on the thing you’re trying to predict. You’ll learn how to detect and drop these irrelevant features too, in order to reduce dimensionality and thus complexity. Finally, you’ll learn how feature extraction techniques can reduce dimensionality for you through the calculation of uncorrelated principal components.","Understand the concept of reducing dimensionality in your data, and master the techniques to do so in Python.",Jeroen Boeye
Machine Learning with Tree-Based Models in Python,Machine Learning with Tree-Based Models in Python,1,"Decision trees are supervised learning models used for problems involving classification and regression. Tree models present a high flexibility that comes at a price: on one hand, trees are able to capture complex non-linear relationships; on the other hand, they are prone to memorizing the noise present in a dataset. By aggregating the predictions of trees that are trained differently, ensemble methods take advantage of the flexibility of trees while reducing their tendency to memorize noise. Ensemble methods are used across a variety of fields and have a proven track record of winning many machine learning competitions. In this course, you'll learn how to use Python to train decision trees and tree-based models with the user-friendly scikit-learn machine learning library. You'll understand the advantages and shortcomings of trees and demonstrate how ensembling can alleviate these shortcomings, all while practicing on real-world datasets. Finally, you'll also understand how to tune the most influential hyperparameters in order to get the most out of your models.","In this course, you'll learn how to use tree-based models and ensembles for regression and classification using scikit-learn.",Elie Kawerk
Introduction to APIs in Python,Introduction to APIs in Python,1,"Dive into the exciting world of APIs as we introduce you to the basics of consuming and working with Web APIs using Python. This course is designed to demystify the concepts and practical applications of APIs. It offers you a hands-on introduction where you'll learn how to interact with a REST API and integrate it into your applications or workflows. By the end of this course, you'll have a comprehensive understanding of APIs and the confidence to apply your knowledge in real-world scenarios.",Dive into the exciting world of APIs as we introduce you to the basics of consuming and working with Web APIs using Python.,Chris Ramakers
Biomedical Image Analysis in Python,Biomedical Image Analysis in Python,1,"The field of biomedical imaging has exploded in recent years - but for the uninitiated, even loading data can be a challenge! In this introductory course, you'll learn the fundamentals of image analysis using NumPy, SciPy, and Matplotlib. You'll navigate through a whole-body CT scan, segment a cardiac MRI time series, and determine whether Alzheimer’s disease changes brain structure. Even if you have never worked with images before, you will finish the course with a solid toolkit for entering this dynamic field.","Learn the fundamentals of exploring, manipulating, and measuring biomedical image data.",Stephen Bailey
Working with Dates and Times in Python,Working with Dates and Times in Python,1,"You'll probably never have a time machine, but how about a machine for analyzing time? As soon as time enters any analysis, things can get weird. It's easy to get tripped up on day and month boundaries, time zones, daylight saving time, and all sorts of other things that can confuse the unprepared. If you're going to do any kind of analysis involving time, you’ll want to use Python to sort it out. Working with data sets on hurricanes and bike trips, we’ll cover counting events, figuring out how much time has elapsed between events and plotting data over time. You'll work in both standard Python and in Pandas, and we'll touch on the dateutil library, the only timezone library endorsed by the official Python documentation. After this course, you'll confidently handle date and time data in any format like a champion.",Learn how to work with dates and times in Python.,DataCamp Content Creator
Reinforcement Learning from Human Feedback (RLHF),Reinforcement Learning from Human Feedback (RLHF),1,Combine the efficiency of Generative AI with the understanding of human expertise in this course on Reinforcement Learning from Human Feedback. You’ll learn how to make GenAI models truly reflect human values and preferences while getting hands-on experience with LLMs. You’ll also navigate the complexities of reward models and learn how to build upon LLMs to produce AI that not only learns but also adapts to real-world scenarios.,Learn how to make GenAI models truly reflect human values while gaining hands-on experience with advanced LLMs.,Mina Parham
Sampling in Python,Sampling in Python,1,"Sampling in Python is the cornerstone of inference statistics and hypothesis testing. It's a powerful skill used in survey analysis and experimental design to draw conclusions without surveying an entire population. In this Sampling in Python course, you’ll discover when to use sampling and how to perform common types of sampling—from simple random sampling to more complex methods like stratified and cluster sampling. Using real-world datasets, including coffee ratings, Spotify songs, and employee attrition, you’ll learn to estimate population statistics and quantify uncertainty in your estimates by generating sampling distributions and bootstrap distributions.",Learn to draw conclusions from limited data using Python and statistics. This course covers everything from random sampling to stratified and cluster sampling.,James Chapman
Writing Functions in Python,Writing Functions in Python,1,"You've done your analysis, built your report, and trained a model. What's next? Well, if you want to deploy your model into production, your code will need to be more reliable than exploratory scripts in a Jupyter notebook. Writing Functions in Python will give you a strong foundation in writing complex and beautiful functions so that you can contribute research and engineering skills to your team. You'll learn useful tricks, like how to write context managers and decorators. You'll also learn best practices around how to write maintainable reusable functions with good documentation. They say that people who can do good research and write high-quality code are unicorns. Take this course and discover the magic!","Learn to use best practices to write maintainable, reusable, complex functions with good documentation.",Shayne Miel
Deep Learning for Text with PyTorch,Deep Learning for Text in PyTorch,0.993252277,"Embark on an exciting journey into deep learning for text with PyTorch. This course will equip you with the skills to tackle various text-related challenges. You'll dive into the principles of text processing with encoding and embedding. You’ll apply various models, including CNNs, RNNs, GANs, and pre-trained models, using text data. Finally, you'll delve into advanced topics, including transfer learning techniques, attention mechanisms, and how to protect your models from adversarial attacks. By the end of this course, you'll have the skills to build powerful deep learning models for text.",Discover the exciting world of Deep Learning for Text with PyTorch and unlock new possibilities in natural language processing and text generation.,Shubham Jain
Deep Reinforcement Learning in Python,Deep Reinforcement Learning with Python,0.9927651578,"Embark on a journey to empower machines through Deep Reinforcement Learning (DRL). This course offers hands-on experience with powerful algorithms using PyTorch and Gymnasium. Start with DRL foundations and traditional Reinforcement Learning, then implement Deep Q-Networks (DQN) with advanced refinements like Prioritized Experience Replay. Advance your skills with policy-based methods and explore industry-standard algorithms like Proximal Policy Optimization (PPO) before optimizing your models using Optuna.","Learn and use powerful Deep Reinforcement Learning algorithms, including refinement and optimization techniques.",Timothée Carayol
Spoken Language Processing in Python,Spoken Language Processing with Python,0.9919601383,"We learn to speak far before we learn to read. Even in the digital age, our main method of communication is speech. Spoken Language Processing with Python will help you load, transform and transcribe audio files. You'll start by seeing what raw audio looks like in Python. And then finish by working through an example business use case, transcribing and classifying phone call data.","Learn how to load, transform, and transcribe speech from raw audio files in Python.",Daniel Bourke
AI Ethics,Ethics in AI,0.9821715355,"This introductory course on AI ethics provides a comprehensive overview of ethical considerations in the fast-paced domain of artificial intelligence. The course spans industry, policy-making, academia, and society at large, covering principles of AI ethics, strategies to foster fair and equitable AI systems, approaches to minimize biases, and methods to address key issues and establish user trust. Throughout the course, you will learn about the core principles of ethical AI and expand your understanding of common challenges and opportunities in the field of AI ethics. Through hands-on exercises, you will build your skills to craft ethical AI by design. Begin Learning today! The videos contain live transcripts you can reveal by clicking ""Show transcript"" at the bottom left of the videos. The course glossary, promotional material and detailed learning objectives can be found on the right in the resources section. To obtain CPE credits you need to complete the course and reach a score of 70% on the qualified assessment. You can navigate to the assessment by clicking on the CPE credits callout on the right.","Explore AI ethics focusing on principles, fairness, bias reduction, and trust in AI design.",Joe Franklin
Developing LLM Applications with LangChain,Building LLM Applications with LangChain,0.9768969694,"Revolutionize your applications by harnessing the power of the LangChain framework for creating applications based on large language models (LLMs)! One of the major challenges for developing applications in the age of generative AI is integrating models, data sources, prompts, and other components from different providers into a single application. The LangChain framework provides a single, unified syntax for putting all these pieces together to allow you to integrate LLMs more seamlessly into your projects. Whether you're a seasoned developer or just getting started, this course will equip you with the knowledge and skills to build dynamic and intelligent applications that leverage the limitless capabilities of LangChain. Join us on this transformative journey and redefine how you create applications powered by language models.","Discover how to build AI-powered applications using LLMs, prompts, chains, and agents in LangChain.",Jonathan Bennion
Hypothesis Testing in Python,Introduction to Hypothesis Testing in Python,0.9524300411,"Hypothesis testing lets you answer questions about your datasets in a statistically rigorous way. In this course, you'll grow your Python analytical skills as you learn how and when to use common tests like t-tests, proportion tests, and chi-square tests. Working with real-world data, including Stack Overflow user feedback and supply-chain data for medical supply shipments, you'll gain a deep understanding of how these tests work and the key assumptions that underpin them. You'll also discover how non-parametric tests can be used to go beyond the limitations of traditional hypothesis tests.","Learn how and when to use common hypothesis tests like t-tests, proportion tests, and chi-square tests in Python.",James Chapman
Introduction to Importing Data in Python,Importing Data in Python (Part 1),0.9516666503,"As a data scientist, you will need to clean data, wrangle and munge it, visualize it, build predictive models, and interpret these models. Before you can do so, however, you will need to know how to get data into Python. In this course, you'll learn the many ways to import data into Python: from flat files such as .txt and .csv; from files native to other software such as Excel spreadsheets, Stata, SAS, and MATLAB files; and from relational databases such as SQLite and PostgreSQL.","Learn to import data into Python from various sources, such as Excel, SQL, SAS and right from the web.",Hugo Bowne-Anderson
Graph RAG with LangChain and Neo4j,Building Graph RAG Applications with Neo4j and LangChain,0.9506051599,"Are you bored of vectors, embeddings, and vector RAG applications yet? Look no further! In this course, you'll discover how Graph RAG can greatly improve the accuracy and reliability of RAG applications by storing and querying information in the form of nodes and relationships. Combine Neo4j graph databases with LangChain and you get a truly awesome way of retrieving and integrating external data with LLMs.",Create more accurate and reliable RAG systems with Graph RAG and hybrid RAG.,Adam  Cowley
Linear Classifiers in Python,Introduction to Linear Classifiers in Python,0.9482704339,"In this course you'll learn all about using linear classifiers, specifically logistic regression and support vector machines, with scikit-learn. Once you've learned how to apply these methods, you'll dive into the ideas behind them and find out what really makes them tick. At the end of this course you'll know how to train, test, and tune these linear classifiers in Python. You'll also have a conceptual foundation for understanding many other machine learning algorithms.",In this course you will learn the details of linear classifiers like logistic regression and SVM.,Mike Gelbart
